id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19855651,Guest suite in Seattle · ★4.95 · 1 bedroom · 2 beds · 2 baths,10235544,Scott (Aka Skip),Central Area,Leschi,47.59181,-122.29372,Entire home/apt,92,30,20,2023-01-08,0.28,3,296,3,
21933426,Cabin in Seattle · ★4.79 · 1 bedroom · 2 beds · 1 bath,7977439,Jess,West Seattle,North Admiral,47.58638,-122.37903,Entire home/apt,148,2,264,2023-06-16,4.05,1,220,30,STR-OPLI-19-002293
31294061,Rental unit in Seattle · ★5.0 · 1 bedroom · 1 bed · 3 shared baths,30559,Angielena,Other neighborhoods,Georgetown,47.54952,-122.31747,Private room,71,2,39,2023-05-29,0.73,9,346,9,
25725786,Home in Seattle · ★5.0 · 3 bedrooms · 3 beds · 2.5 baths,9605860,Susan,Delridge,Roxhill,47.53408,-122.3747,Entire home/apt,303,4,52,2022-11-27,0.88,1,301,7,STR-OPLI-19-002480
50664388,Rental unit in Seattle · ★5.0 · 1 bedroom · 2 beds · 1 bath,409129017,Genesis,Beacon Hill,North Beacon Hill,47.57874,-122.31075,Entire home/apt,87,30,3,2023-01-10,0.14,11,123,1,
623805411743065974,Home in Seattle · ★5.0 · 1 bedroom · 2 beds · 1 bath,383784618,John,Northgate,North College Park,47.70099,-122.34016,Entire home/apt,180,15,5,2022-09-16,0.39,1,126,3,STR-OPLI-22-001165
17177425,Guesthouse in Seattle · ★4.97 · Studio · 2 beds · 1 bath,115580577,Colleen,Central Area,Leschi,47.60493469238281,-122.2945785522461,Entire home/apt,195,1,345,2023-05-23,5.03,1,126,104,STR-OPLI-19-002844
631407071397278829,Townhouse in Seattle · ★4.88 · 3 bedrooms · 4 beds · 2.5 baths,398317720,Joanne,Other neighborhoods,Fremont,47.65746,-122.34855,Entire home/apt,289,1,59,2023-06-19,4.77,53,18,57,STR-OPLI-22-000830
817380098884376233,Home in Seattle · ★4.80 · 3 bedrooms · 3 beds · 2 baths,104834083,Vacasa Washington,Central Area,Leschi,47.59624,-122.29421,Entire home/apt,297,2,5,2023-05-28,1.44,52,337,5,STR-OPLI-23-000102
22205817,Home in Seattle · ★4.97 · 2 bedrooms · 2 beds · 1.5 baths,125247394,Codi,Ballard,Adams,47.67505,-122.39497,Entire home/apt,291,2,294,2023-06-18,4.41,1,136,29,STR-OPLI-19-001741
580344197605587451,Townhouse in Seattle · ★4.81 · 2 bedrooms · 2 beds · 2 baths,124471331,Victor,Other neighborhoods,Fremont,47.65304,-122.3573,Entire home/apt,273,2,16,2023-06-19,1.10,2,61,15,STR-OPLI-21-000673
